headline,link
Python Tutorial: Zip Files – Creating and Extracting Zip Archives,https://youtube.com/watch?v=z0gguhEmWiY
Python Data Science Tutorial: Analyzing the 2019 Stack Overflow Developer Survey,https://youtube.com/watch?v=_P7X8tMplsw
Python Multiprocessing Tutorial: Run Code in Parallel Using the Multiprocessing Module,https://youtube.com/watch?v=fKl2JW_qrso
Python Threading Tutorial: Run Code Concurrently Using the Threading Module,https://youtube.com/watch?v=IEEhzQoKtQU
Update (2019-09-03),None
Python Quick Tip: The Difference Between “==” and “is” (Equality vs Identity),https://youtube.com/watch?v=mO_dS3rXDIs
Python Tutorial: Calling External Commands Using the Subprocess Module,https://youtube.com/watch?v=2Fp1N6dof0Y
Visual Studio Code (Windows) – Setting up a Python Development Environment and Complete Overview,https://youtube.com/watch?v=-nh9rCzPJ20
Visual Studio Code (Mac) – Setting up a Python Development Environment and Complete Overview,https://youtube.com/watch?v=06I63_p-2A4
Clarifying the Issues with Mutable Default Arguments,https://youtube.com/watch?v=_JGmemuINww
